1.000 0.137 0.187 0.087 0.188 0.086
1.100 0.132 0.182 0.082 0.183 0.082
1.200 0.128 0.178 0.078 0.179 0.078
1.300 0.124 0.174 0.074 0.175 0.074
1.400 0.120 0.170 0.070 0.171 0.070
1.500 0.117 0.167 0.067 0.167 0.067
1.600 0.114 0.164 0.064 0.164 0.064
1.700 0.111 0.161 0.061 0.161 0.061
1.800 0.108 0.158 0.058 0.159 0.058
1.900 0.106 0.156 0.056 0.156 0.056
2.000 0.104 0.154 0.054 0.154 0.053
2.100 0.101 0.151 0.051 0.152 0.051
2.200 0.099 0.149 0.050 0.149 0.050
2.300 0.098 0.146 0.049 0.146 0.049
2.400 0.096 0.144 0.048 0.144 0.048
2.500 0.094 0.141 0.047 0.141 0.047
2.600 0.092 0.139 0.046 0.139 0.046
2.700 0.091 0.136 0.045 0.137 0.045
2.800 0.090 0.134 0.045 0.164 0.045
2.900 0.108 0.158 0.058 0.185 0.045
3.000 0.132 0.182 0.082 0.199 0.055
3.100 0.149 0.199 0.099 0.210 0.076
3.200 0.162 0.212 0.112 0.220 0.099
3.300 0.173 0.223 0.123 0.229 0.115
3.400 0.183 0.233 0.133 0.237 0.127
3.500 0.191 0.241 0.141 0.245 0.137
3.600 0.199 0.249 0.149 0.252 0.146
3.700 0.206 0.256 0.156 0.259 0.153
3.800 0.213 0.263 0.163 0.265 0.161
3.900 0.219 0.269 0.169 0.271 0.167
4.000 0.225 0.275 0.175 0.276 0.173
4.100 0.230 0.280 0.180 0.282 0.179
4.200 0.236 0.286 0.186 0.287 0.184
4.300 0.241 0.291 0.191 0.292 0.190
4.400 0.245 0.295 0.195 0.296 0.194
4.500 0.250 0.300 0.200 0.301 0.199
4.600 0.255 0.305 0.205 0.305 0.204
4.700 0.259 0.309 0.209 0.309 0.208
4.800 0.263 0.313 0.213 0.314 0.212
4.900 0.267 0.317 0.217 0.318 0.216
5.000 0.271 0.321 0.221 0.322 0.220
5.100 0.275 0.325 0.225 0.325 0.224
5.200 0.279 0.329 0.229 0.329 0.228
5.300 0.282 0.332 0.232 0.333 0.232
5.400 0.286 0.336 0.236 0.336 0.236
5.500 0.290 0.340 0.240 0.340 0.239
5.600 0.293 0.343 0.243 0.343 0.243
5.700 0.296 0.346 0.246 0.347 0.246
5.800 0.300 0.350 0.250 0.350 0.249
5.900 0.303 0.353 0.253 0.354 0.253
6.000 0.307 0.357 0.257 0.357 0.256
6.100 0.311 0.361 0.261 0.362 0.260
6.200 0.316 0.366 0.266 0.369 0.265
6.300 0.323 0.373 0.273 0.378 0.271
6.400 0.330 0.380 0.280 0.396 0.276
6.500 0.344 0.394 0.294 0.421 0.282
6.600 0.364 0.414 0.314 0.451 0.292
6.700 0.388 0.438 0.338 0.486 0.310
6.800 0.419 0.469 0.369 0.524 0.330
6.900 0.455 0.505 0.405 0.560 0.356
7.000 0.493 0.543 0.443 0.591 0.387
7.100 0.528 0.578 0.478 0.618 0.424
7.200 0.558 0.608 0.508 0.643 0.462
7.300 0.586 0.636 0.536 0.666 0.496
7.400 0.611 0.661 0.561 0.688 0.527
7.500 0.634 0.684 0.584 0.708 0.554
